GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q563W7	trpm7	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1929996|PANTHER:PTN002674401|RGD:620053|UniProtKB:Q96QT4	7955	Danio rerio	GO_Central	non-specific serine/threonine protein kinase	20250408
UniProtKB	Q563W7	trpm7	enables	GO:0005262	calcium channel activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1929996|PANTHER:PTN000351164|RGD:620053|UniProtKB:Q7Z4N2|UniProtKB:Q96QT4|UniProtKB:Q9HCF6	7955	Danio rerio	GO_Central	non-specific serine/threonine protein kinase	20250408
UniProtKB	Q563W7	trpm7	involved_in	GO:0006816	calcium ion transport	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1929996|PANTHER:PTN000351164|RGD:620053|UniProtKB:Q7Z4N2|UniProtKB:Q96QT4|UniProtKB:Q9BX84|UniProtKB:Q9HCF6	7955	Danio rerio	GO_Central	non-specific serine/threonine protein kinase	20250408
UniProtKB	Q563W7	trpm7	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1351901|MGI:MGI:1915917|MGI:MGI:1929996|MGI:MGI:2181435|MGI:MGI:2675603|PANTHER:PTN001013045|RGD:620244|RGD:620762|UniProtKB:A7T1N0|UniProtKB:O94759|UniProtKB:Q7Z2W7|UniProtKB:Q8TD43|UniProtKB:Q96QT4|UniProtKB:Q9BX84|UniProtKB:Q9HCF6|WB:WBGene00001796|ZFIN:ZDB-GENE-021115-2|ZFIN:ZDB-GENE-061214-4	7955	Danio rerio	GO_Central	non-specific serine/threonine protein kinase	20241120
UniProtKB	Q563W7	trpm7	involved_in	GO:0098655	monoatomic cation transmembrane transport	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0265194|MGI:MGI:1351901|MGI:MGI:1929996|PANTHER:PTN001013045|RGD:1311889|RGD:620762|UniProtKB:A7T1N0|UniProtKB:O94759|UniProtKB:Q7Z4N2|UniProtKB:Q8TD43|UniProtKB:Q96QT4|UniProtKB:Q9BX84|UniProtKB:Q9HCF6|ZFIN:ZDB-GENE-061214-4	7955	Danio rerio	GO_Central	non-specific serine/threonine protein kinase	20241120
UniProtKB	Q563W7	trpm7	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027018	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004166|InterPro:IPR029601|EC:2.7.11.1|UniProtKB-KW:KW-0723	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0005216	monoatomic ion channel activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005821	7955	Danio rerio	InterPro	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0005261	monoatomic cation channel activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026608	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0005262	calcium channel activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0107	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004166|UniProtKB-KW:KW-0067	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	involved_in	GO:0006811	monoatomic ion transport	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR005821|UniProtKB-KW:KW-0406	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	involved_in	GO:0006816	calcium ion transport	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0109	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	located_in	GO:0016020	membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028763|InterPro:IPR005821	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0016301	kinase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0418	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	enables	GO:0016740	transferase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
UniProtKB	Q563W7	trpm7	involved_in	GO:0030001	metal ion transport	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028072	7955	Danio rerio	UniProt	non-specific serine/threonine protein kinase	20250901
