GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9VB70	CG6051	involved_in	GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002504314|UniProtKB:Q9HCC9	7227	Drosophila melanogaster	GO_Central	Lateral signaling target protein 2 homolog	20240328
UniProtKB	Q9VB70	CG6051	is_active_in	GO:0031901	early endosome membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001153075|UniProtKB:Q9HCC9	7227	Drosophila melanogaster	GO_Central	Lateral signaling target protein 2 homolog	20180816
UniProtKB	Q9VB70	CG6051	enables	GO:0046872	metal ion binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000306|UniProtKB-KW:KW-0479	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250429
UniProtKB	Q9VB70	CG6051	enables	GO:0004438	phosphatidylinositol-3-phosphate phosphatase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035068	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	enables	GO:0004721	phosphoprotein phosphatase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027651	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	located_in	GO:0005829	cytosol	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029243	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0863	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028763	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	enables	GO:0019899	enzyme binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026481	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	involved_in	GO:0046474	glycerophospholipid biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028351	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	involved_in	GO:0046856	phosphatidylinositol dephosphorylation	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028324	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	enables	GO:0052629	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00047230	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	enables	GO:0060090	molecular adaptor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026447	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
UniProtKB	Q9VB70	CG6051	involved_in	GO:0061952	midbody abscission	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029210	7227	Drosophila melanogaster	UniProt	Lateral signaling target protein 2 homolog	20250428
