GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9U969	sws	enables	GO:0004622	phosphatidylcholine lysophospholipase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0003656|MGI:MGI:1354723|MGI:MGI:2385325|PANTHER:PTN000369206|SGD:S000004524|UniProtKB:Q8IY17	7227	Drosophila melanogaster	GO_Central	Neuropathy target esterase sws	20220923
UniProtKB	Q9U969	sws	is_active_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0003656|MGI:MGI:2385325|PANTHER:PTN000369206|SGD:S000004524|UniProtKB:Q8IY17	7227	Drosophila melanogaster	GO_Central	Neuropathy target esterase sws	20210101
UniProtKB	Q9U969	sws	enables	GO:0004622	phosphatidylcholine lysophospholipase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00035748|InterPro:IPR001423|RHEA:15177|EC:3.1.1.5	7227	Drosophila melanogaster	UniProt	Neuropathy target esterase sws	20250901
UniProtKB	Q9U969	sws	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	7227	Drosophila melanogaster	UniProt	Neuropathy target esterase sws	20250901
UniProtKB	Q9U969	sws	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR002641|UniProtKB-KW:KW-0443	7227	Drosophila melanogaster	UniProt	Neuropathy target esterase sws	20250901
UniProtKB	Q9U969	sws	involved_in	GO:0007399	nervous system development	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0524	7227	Drosophila melanogaster	UniProt	Neuropathy target esterase sws	20250901
UniProtKB	Q9U969	sws	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028763	7227	Drosophila melanogaster	UniProt	Neuropathy target esterase sws	20250901
UniProtKB	Q9U969	sws	involved_in	GO:0016042	lipid catabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0442	7227	Drosophila melanogaster	UniProt	Neuropathy target esterase sws	20250901
UniProtKB	Q9U969	sws	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	7227	Drosophila melanogaster	UniProt	Neuropathy target esterase sws	20250901
UniProtKB	Q9U969	sws	involved_in	GO:0046470	phosphatidylcholine metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001423	7227	Drosophila melanogaster	InterPro	Neuropathy target esterase sws	20250901
