GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0004683	calcium/calmodulin-dependent protein kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264607|MGI:MGI:1341265|MGI:MGI:88256|MGI:MGI:88257|MGI:MGI:88259|PANTHER:PTN002389359|RGD:2261|RGD:2262|RGD:2263|RGD:621802|UniProtKB:Q13554|UniProtKB:Q13557|UniProtKB:Q9UQM7|WB:WBGene00006779|ZFIN:ZDB-GENE-050913-146|ZFIN:ZDB-GENE-051113-72	9606	Homo sapiens	GO_Central	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20241120
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000719|InterPro:IPR008271	9606	Homo sapiens	InterPro	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250429
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0004683	calcium/calmodulin-dependent protein kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR013543|EC:2.7.11.17	9606	Homo sapiens	UniProt	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250429
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	9606	Homo sapiens	UniProt	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250428
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0723	9606	Homo sapiens	UniProt	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250428
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19453375	UniProtKB:Q13224	9606	Homo sapiens	IntAct	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250426
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20668654	UniProtKB:Q13557	9606	Homo sapiens	IntAct	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250426
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22939624	UniProtKB:P08238	9606	Homo sapiens	IntAct	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250426
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25852190	UniProtKB:Q13557	9606	Homo sapiens	IntAct	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250426
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27173435	UniProtKB:Q13554	9606	Homo sapiens	IntAct	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250426
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:29426014	UniProtKB:Q13554	9606	Homo sapiens	IntAct	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250426
UniProtKB	Q9UQM7	CAMK2A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:31980649	UniProtKB:P07900	9606	Homo sapiens	IntAct	Calcium/calmodulin-dependent protein kinase type II subunit alpha	20250426
