GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q15392	DHCR24	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000085798|UniProtKB:Q15392	9606	Homo sapiens	GO_Central	Delta(24)-sterol reductase	20230602
UniProtKB	Q15392	DHCR24	involved_in	GO:0008202	steroid metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1922004|PANTHER:PTN000085798|RGD:1306529|TAIR:locus:2092276|UniProtKB:Q15392	9606	Homo sapiens	GO_Central	Delta(24)-sterol reductase	20210529
UniProtKB	Q15392	DHCR24	enables	GO:0000246	Delta24(24-1) sterol reductase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000085799|UniProtKB:Q15392	9606	Homo sapiens	GO_Central	Delta(24)-sterol reductase	20170228
UniProtKB	Q15392	DHCR24	enables	GO:0050614	Delta24-sterol reductase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:1.3.1.72	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250902
UniProtKB	Q15392	DHCR24	located_in	GO:0000139	Golgi membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0134	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	involved_in	GO:0006694	steroid biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0752	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	involved_in	GO:0006695	cholesterol biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q8VCH6|ensembl:ENSMUSP00000038063|UniProtKB-KW:KW-0152|UniPathway:UPA00063	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	involved_in	GO:0008202	steroid metabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027309|UniProtKB:Q5BQE6|ensembl:ENSRNOP00000009402|UniProtKB-KW:KW-0753	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	involved_in	GO:0008203	cholesterol metabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q8VCH6|ensembl:ENSMUSP00000038063|UniProtKB-KW:KW-0153	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	involved_in	GO:0016126	sterol biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0756	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	enables	GO:0016491	oxidoreductase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	9606	Homo sapiens	UniProt	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	enables	GO:0050660	flavin adenine dinucleotide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006094|InterPro:IPR036318	9606	Homo sapiens	InterPro	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	enables	GO:0071949	FAD binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016166	9606	Homo sapiens	InterPro	Delta(24)-sterol reductase	20250901
UniProtKB	Q15392	DHCR24	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:30021884	UniProtKB:O00264	9606	Homo sapiens	IntAct	Delta(24)-sterol reductase	20250830
UniProtKB	Q15392	DHCR24	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:35271311	UniProtKB:O00264	9606	Homo sapiens	IntAct	Delta(24)-sterol reductase	20250830
UniProtKB	Q15392	DHCR24	involved_in	GO:0006695	cholesterol biosynthetic process	biological_process	ECO:0000304	TAS	Reactome:R-HSA-191273		9606	Homo sapiens	Reactome	Delta(24)-sterol reductase	20250608
