GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P21128	ENDOU	enables	GO:0004521	RNA endonuclease activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0030251|FB:FBgn0038381|PANTHER:PTN000277688|UniProtKB:B7ZQR5|UniProtKB:P21128	9606	Homo sapiens	GO_Central	Uridylate-specific endoribonuclease	20240918
UniProtKB	P21128	ENDOU	involved_in	GO:0007165	signal transduction	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0008083	9606	Homo sapiens	GOC	Uridylate-specific endoribonuclease	20250430
UniProtKB	P21128	ENDOU	involved_in	GO:0016192	vesicle-mediated transport	biological_process	ECO:0000366	IEA	GO_REF:0000108	GO:0005044	9606	Homo sapiens	GOC	Uridylate-specific endoribonuclease	20250430
UniProtKB	P21128	ENDOU	enables	GO:0004521	RNA endonuclease activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR018998|InterPro:IPR039787	9606	Homo sapiens	InterPro	Uridylate-specific endoribonuclease	20250429
UniProtKB	P21128	ENDOU	enables	GO:0005044	scavenger receptor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020436	9606	Homo sapiens	InterPro	Uridylate-specific endoribonuclease	20250429
UniProtKB	P21128	ENDOU	involved_in	GO:0006955	immune response	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020436	9606	Homo sapiens	InterPro	Uridylate-specific endoribonuclease	20250429
UniProtKB	P21128	ENDOU	enables	GO:0030247	polysaccharide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020436	9606	Homo sapiens	InterPro	Uridylate-specific endoribonuclease	20250429
UniProtKB	P21128	ENDOU	enables	GO:0003723	RNA binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0694	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	enables	GO:0004518	nuclease activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0540	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	enables	GO:0004519	endonuclease activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0255	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	enables	GO:0004540	RNA nuclease activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027859	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	enables	GO:0016829	lyase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0456	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	9606	Homo sapiens	UniProt	Uridylate-specific endoribonuclease	20250428
UniProtKB	P21128	ENDOU	enables	GO:0004521	RNA endonuclease activity	molecular_function	ECO:0000316	IGI	PMID:37803019	FB:FBgn0030251	9606	Homo sapiens	FlyBase	Uridylate-specific endoribonuclease	20231127
UniProtKB	P21128	ENDOU	involved_in	GO:0016441	post-transcriptional gene silencing	biological_process	ECO:0000316	IGI	PMID:37803019	FB:FBgn0030251	9606	Homo sapiens	FlyBase	Uridylate-specific endoribonuclease	20231127
