GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8N441	FGFRL1	enables	GO:0005007	fibroblast growth factor receptor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2150920|PANTHER:PTN000459281|UniProtKB:Q8N441	9606	Homo sapiens	GO_Central	Fibroblast growth factor receptor-like 1	20170427
UniProtKB	Q8N441	FGFRL1	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2150920|PANTHER:PTN000459281|UniProtKB:Q8N441	9606	Homo sapiens	GO_Central	Fibroblast growth factor receptor-like 1	20170427
UniProtKB	Q8N441	FGFRL1	enables	GO:0017134	fibroblast growth factor binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2150920|PANTHER:PTN000459281	9606	Homo sapiens	GO_Central	Fibroblast growth factor receptor-like 1	20170427
UniProtKB	Q8N441	FGFRL1	involved_in	GO:0008543	fibroblast growth factor receptor signaling pathway	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0005007	9606	Homo sapiens	GOC	Fibroblast growth factor receptor-like 1	20250902
UniProtKB	Q8N441	FGFRL1	located_in	GO:0016020	membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	9606	Homo sapiens	UniProt	Fibroblast growth factor receptor-like 1	20250901
UniProtKB	Q8N441	FGFRL1	acts_upstream_of_or_within	GO:0001501	skeletal system development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91V87|ensembl:ENSMUSP00000013633	9606	Homo sapiens	Ensembl	Fibroblast growth factor receptor-like 1	20250527
UniProtKB	Q8N441	FGFRL1	acts_upstream_of_or_within	GO:0003179	heart valve morphogenesis	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91V87|ensembl:ENSMUSP00000013633	9606	Homo sapiens	Ensembl	Fibroblast growth factor receptor-like 1	20250527
UniProtKB	Q8N441	FGFRL1	enables	GO:0005007	fibroblast growth factor receptor activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00086051|UniProtKB:Q91V87|ensembl:ENSMUSP00000013633	9606	Homo sapiens	UniProt	Fibroblast growth factor receptor-like 1	20250527
UniProtKB	Q8N441	FGFRL1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91V87|ensembl:ENSMUSP00000013633	9606	Homo sapiens	Ensembl	Fibroblast growth factor receptor-like 1	20250527
UniProtKB	Q8N441	FGFRL1	acts_upstream_of_or_within	GO:0008285	negative regulation of cell population proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91V87|ensembl:ENSMUSP00000013633	9606	Homo sapiens	Ensembl	Fibroblast growth factor receptor-like 1	20250527
