GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9ULD6	INTU	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2443752|PANTHER:PTN001078454|UniProtKB:Q9ULD6	9606	Homo sapiens	GO_Central	Protein inturned	20250412
UniProtKB	Q9ULD6	INTU	involved_in	GO:0060271	cilium assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2443752|PANTHER:PTN001078454|UniProtKB:A0A1L8HLW4	9606	Homo sapiens	GO_Central	Protein inturned	20240919
UniProtKB	Q9ULD6	INTU	is_active_in	GO:0005929	cilium	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2443752|PANTHER:PTN001078454|UniProtKB:Q9ULD6	9606	Homo sapiens	GO_Central	Protein inturned	20220415
UniProtKB	Q9ULD6	INTU	involved_in	GO:0007399	nervous system development	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001259|MGI:MGI:2443752|PANTHER:PTN001078454	9606	Homo sapiens	GO_Central	Protein inturned	20210305
UniProtKB	Q9ULD6	INTU	involved_in	GO:0001736	establishment of planar polarity	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039151	9606	Homo sapiens	InterPro	Protein inturned	20250429
UniProtKB	Q9ULD6	INTU	involved_in	GO:0016192	vesicle-mediated transport	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR043987|InterPro:IPR043988|InterPro:IPR043989	9606	Homo sapiens	InterPro	Protein inturned	20250429
UniProtKB	Q9ULD6	INTU	involved_in	GO:0060271	cilium assembly	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q059U7|ensembl:ENSMUSP00000088725|InterPro:IPR039151	9606	Homo sapiens	UniProt	Protein inturned	20250429
UniProtKB	Q9ULD6	INTU	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q059U7|ensembl:ENSMUSP00000088725|UniProtKB-KW:KW-0963|UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Protein inturned	20250428
UniProtKB	Q9ULD6	INTU	located_in	GO:0005814	centriole	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q059U7|ensembl:ENSMUSP00000088725|UniProtKB-SubCell:SL-0046	9606	Homo sapiens	UniProt	Protein inturned	20250428
UniProtKB	Q9ULD6	INTU	located_in	GO:0005856	cytoskeleton	cellular_component	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0206	9606	Homo sapiens	UniProt	Protein inturned	20250428
UniProtKB	Q9ULD6	INTU	located_in	GO:0009986	cell surface	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0310	9606	Homo sapiens	UniProt	Protein inturned	20250428
UniProtKB	Q9ULD6	INTU	involved_in	GO:0030030	cell projection organization	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0970	9606	Homo sapiens	UniProt	Protein inturned	20250428
UniProtKB	Q9ULD6	INTU	located_in	GO:0042995	cell projection	cellular_component	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0966	9606	Homo sapiens	UniProt	Protein inturned	20250428
UniProtKB	Q9ULD6	INTU	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26644512	UniProtKB:O75161	9606	Homo sapiens	IntAct	Protein inturned	20250426
UniProtKB	Q9ULD6	INTU	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26644512	UniProtKB:Q9Y4D1	9606	Homo sapiens	IntAct	Protein inturned	20250426
UniProtKB	Q9ULD6	INTU	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27173435	UniProtKB:Q9BT04	9606	Homo sapiens	IntAct	Protein inturned	20250426
UniProtKB	Q9ULD6	INTU	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q9BT04	9606	Homo sapiens	IntAct	Protein inturned	20250426
