GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P23458	JAK1	enables	GO:0004715	non-membrane spanning protein tyrosine kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0004864|MGI:MGI:96629|PANTHER:PTN001562978|UniProtKB:O60674|UniProtKB:P23458|UniProtKB:P29597	9606	Homo sapiens	GO_Central	Tyrosine-protein kinase JAK1	20250413
UniProtKB	P23458	JAK1	involved_in	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0004864|MGI:MGI:96628|MGI:MGI:96629|PANTHER:PTN001562978|RGD:2939|UniProtKB:O60674|UniProtKB:P23458|UniProtKB:P29597|ZFIN:ZDB-GENE-980526-481	9606	Homo sapiens	GO_Central	Tyrosine-protein kinase JAK1	20241121
UniProtKB	P23458	JAK1	involved_in	GO:0019221	cytokine-mediated signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96628|MGI:MGI:96629|MGI:MGI:99928|PANTHER:PTN001562978|RGD:2939|RGD:2940|UniProtKB:K7GSE8|UniProtKB:O60674|UniProtKB:P23458|UniProtKB:P29597|UniProtKB:P52333	9606	Homo sapiens	GO_Central	Tyrosine-protein kinase JAK1	20241121
UniProtKB	P23458	JAK1	involved_in	GO:0035556	intracellular signal transduction	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96628|MGI:MGI:96629|MGI:MGI:99928|PANTHER:PTN001562978|RGD:2939	9606	Homo sapiens	GO_Central	Tyrosine-protein kinase JAK1	20240801
UniProtKB	P23458	JAK1	involved_in	GO:0030154	cell differentiation	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0004864|MGI:MGI:96629|MGI:MGI:99928|PANTHER:PTN001562978|RGD:2939|ZFIN:ZDB-GENE-070725-4|ZFIN:ZDB-GENE-980526-142|ZFIN:ZDB-GENE-980526-481	9606	Homo sapiens	GO_Central	Tyrosine-protein kinase JAK1	20230112
UniProtKB	P23458	JAK1	enables	GO:0005131	growth hormone receptor binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96628|PANTHER:PTN002521566|RGD:2939|RGD:69056|UniProtKB:P29597	9606	Homo sapiens	GO_Central	Tyrosine-protein kinase JAK1	20211210
UniProtKB	P23458	JAK1	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000719|InterPro:IPR001245|InterPro:IPR008266	9606	Homo sapiens	InterPro	Tyrosine-protein kinase JAK1	20250429
UniProtKB	P23458	JAK1	enables	GO:0004713	protein tyrosine kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR020635|RHEA:10596|UniProtKB-KW:KW-0829	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250429
UniProtKB	P23458	JAK1	enables	GO:0004715	non-membrane spanning protein tyrosine kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027629|InterPro:IPR016251|InterPro:IPR020776|EC:2.7.10.2	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250429
UniProtKB	P23458	JAK1	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000719|InterPro:IPR016251|InterPro:IPR017441|InterPro:IPR020776|UniProtKB-KW:KW-0067	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250429
UniProtKB	P23458	JAK1	involved_in	GO:0035556	intracellular signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016251|InterPro:IPR020776	9606	Homo sapiens	InterPro	Tyrosine-protein kinase JAK1	20250429
UniProtKB	P23458	JAK1	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250428
UniProtKB	P23458	JAK1	involved_in	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00034574	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250428
UniProtKB	P23458	JAK1	enables	GO:0016301	kinase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0418	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250428
UniProtKB	P23458	JAK1	enables	GO:0016740	transferase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250428
UniProtKB	P23458	JAK1	involved_in	GO:0019221	cytokine-mediated signaling pathway	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028236	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250428
UniProtKB	P23458	JAK1	involved_in	GO:0022407	regulation of cell-cell adhesion	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028251	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250428
UniProtKB	P23458	JAK1	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	9606	Homo sapiens	UniProt	Tyrosine-protein kinase JAK1	20250428
UniProtKB	P23458	JAK1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16273093	UniProtKB:P04626	9606	Homo sapiens	IntAct	Tyrosine-protein kinase JAK1	20250426
UniProtKB	P23458	JAK1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16710296	UniProtKB:P48551	9606	Homo sapiens	IntAct	Tyrosine-protein kinase JAK1	20250426
UniProtKB	P23458	JAK1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21220115	UniProtKB:P40189-1	9606	Homo sapiens	IntAct	Tyrosine-protein kinase JAK1	20250426
UniProtKB	P23458	JAK1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25065853	UniProtKB:P40763	9606	Homo sapiens	IntAct	Tyrosine-protein kinase JAK1	20250426
