GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	A6NFN3	RBFOX3	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0052062|MGI:MGI:106368|MGI:MGI:1926224|MGI:MGI:1933973|PANTHER:PTN001037261|RGD:1311838|UniProtKB:O43251|UniProtKB:Q9NWB1|WB:WBGene00001484|ZFIN:ZDB-GENE-040923-2|ZFIN:ZDB-GENE-091204-46|ZFIN:ZDB-GENE-111213-1	9606	Homo sapiens	GO_Central	RNA binding protein fox-1 homolog 3	20240919
UniProtKB	A6NFN3	RBFOX3	involved_in	GO:0007399	nervous system development	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1933973|PANTHER:PTN000400712|ZFIN:ZDB-GENE-040927-11	9606	Homo sapiens	GO_Central	RNA binding protein fox-1 homolog 3	20240730
UniProtKB	A6NFN3	RBFOX3	involved_in	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1926224|MGI:MGI:1933973|PANTHER:PTN001037261|RGD:1311838|WB:WBGene00001484|ZFIN:ZDB-GENE-040927-11	9606	Homo sapiens	GO_Central	RNA binding protein fox-1 homolog 3	20231109
UniProtKB	A6NFN3	RBFOX3	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0052062|MGI:MGI:1926224|PANTHER:PTN001037261|RGD:1311838|UniProtKB:Q9NWB1|WB:WBGene00004984	9606	Homo sapiens	GO_Central	RNA binding protein fox-1 homolog 3	20231109
UniProtKB	A6NFN3	RBFOX3	enables	GO:0003729	mRNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0052062|MGI:MGI:1926224|MGI:MGI:1933973|PANTHER:PTN001037261	9606	Homo sapiens	GO_Central	RNA binding protein fox-1 homolog 3	20211111
UniProtKB	A6NFN3	RBFOX3	involved_in	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR047131	9606	Homo sapiens	InterPro	RNA binding protein fox-1 homolog 3	20250429
UniProtKB	A6NFN3	RBFOX3	enables	GO:0003676	nucleic acid binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029220|InterPro:IPR035979	9606	Homo sapiens	UniProt	RNA binding protein fox-1 homolog 3	20250429
UniProtKB	A6NFN3	RBFOX3	enables	GO:0003723	RNA binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000504|InterPro:IPR017325|InterPro:IPR034237|UniProtKB-KW:KW-0694	9606	Homo sapiens	UniProt	RNA binding protein fox-1 homolog 3	20250429
UniProtKB	A6NFN3	RBFOX3	involved_in	GO:0007399	nervous system development	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR047131	9606	Homo sapiens	InterPro	RNA binding protein fox-1 homolog 3	20250429
UniProtKB	A6NFN3	RBFOX3	involved_in	GO:0043484	regulation of RNA splicing	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027415|InterPro:IPR017325	9606	Homo sapiens	UniProt	RNA binding protein fox-1 homolog 3	20250429
UniProtKB	A6NFN3	RBFOX3	located_in	GO:0005634	nucleus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026330|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	RNA binding protein fox-1 homolog 3	20250428
UniProtKB	A6NFN3	RBFOX3	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0963|UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	RNA binding protein fox-1 homolog 3	20250428
UniProtKB	A6NFN3	RBFOX3	involved_in	GO:0006397	mRNA processing	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0507	9606	Homo sapiens	UniProt	RNA binding protein fox-1 homolog 3	20250428
UniProtKB	A6NFN3	RBFOX3	involved_in	GO:0008380	RNA splicing	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0508	9606	Homo sapiens	UniProt	RNA binding protein fox-1 homolog 3	20250428
