GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P42224	STAT1	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103034|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103062|PANTHER:PTN000210448|UniProtKB:P40763|UniProtKB:P42224	9606	Homo sapiens	GO_Central	Signal transducer and activator of transcription 1-alpha/beta	20241120
UniProtKB	P42224	STAT1	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103038|MGI:MGI:103062|MGI:MGI:103063|PANTHER:PTN000210448|UniProtKB:P40763|UniProtKB:P42224|UniProtKB:P42226|UniProtKB:P51692|UniProtKB:P52630	9606	Homo sapiens	GO_Central	Signal transducer and activator of transcription 1-alpha/beta	20240729
UniProtKB	P42224	STAT1	enables	GO:0003677	DNA binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:A0A0G2JX93|ensembl:ENSRNOP00000070183|InterPro:IPR013801|UniProtKB-KW:KW-0238	9606	Homo sapiens	UniProt	Signal transducer and activator of transcription 1-alpha/beta	20250429
UniProtKB	P42224	STAT1	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001217|InterPro:IPR008967|InterPro:IPR022752	9606	Homo sapiens	InterPro	Signal transducer and activator of transcription 1-alpha/beta	20250429
UniProtKB	P42224	STAT1	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029016	9606	Homo sapiens	UniProt	Signal transducer and activator of transcription 1-alpha/beta	20250428
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:11238845	UniProtKB:P07239	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12070153	UniProtKB:P00533	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12788789	UniProtKB:P01100	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15780933	UniProtKB:P15260	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15825084	UniProtKB:P27958-PRO_0000037566	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15825084	UniProtKB:P52630	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q8N9N8	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16273093	UniProtKB:P04626	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16940534	UniProtKB:P26664	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17275127	UniProtKB:P27958-PRO_0000037576	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17596301	UniProtKB:P52294	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17923090	UniProtKB:P52630	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20195357	UniProtKB:Q01094	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20576130	UniProtKB:Q05397	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21903422	UniProtKB:Q7Z434	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21988832	UniProtKB:P19793	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21988832	UniProtKB:Q16531	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24065129	UniProtKB:P52630	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24360797	UniProtKB:O95786	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24658140	UniProtKB:P00533	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25241761	UniProtKB:P01100	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
UniProtKB	P42224	STAT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25241761	UniProtKB:P04626	9606	Homo sapiens	IntAct	Signal transducer and activator of transcription 1-alpha/beta	20250426
