GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P04637	TP53	enables	GO:0000976	transcription cis-regulatory region binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011615	9606	Homo sapiens	InterPro	Cellular tumor antigen p53	20250429
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0000423	mitophagy	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0001701	in utero embryonic development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0001756	somitogenesis	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0001836	release of cytochrome c from mitochondria	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0002309	T cell proliferation involved in immune response	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0002326	B cell lineage commitment	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0002360	T cell lineage commitment	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0002931	response to ischemia	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0006302	double-strand break repair	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0006357	regulation of transcription by RNA polymerase II	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0006606	protein import into nucleus	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0006974	DNA damage response	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0006979	response to oxidative stress	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026273|UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	UniProt	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0007179	transforming growth factor beta receptor signaling pathway	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0007346	regulation of mitotic cell cycle	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0007369	gastrulation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0007405	neuroblast proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0007406	negative regulation of neuroblast proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0007417	central nervous system development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0007507	heart development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0008156	negative regulation of DNA replication	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0008283	cell population proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0009303	rRNA transcription	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0009410	response to xenobiotic stimulus	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00092608|UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	UniProt	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0009411	response to UV	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028103|UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	UniProt	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0009651	response to salt stress	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0009792	embryo development ending in birth or egg hatching	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0010165	response to X-ray	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0010332	response to gamma radiation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0010629	negative regulation of gene expression	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0010659	cardiac muscle cell apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0010666	positive regulation of cardiac muscle cell apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0014009	glial cell proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0019661	glucose catabolic process to lactate via pyruvate	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0021549	cerebellum development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0030330	DNA damage response, signal transduction by p53 class mediator	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0031571	mitotic G1 DNA damage checkpoint signaling	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0033077	T cell differentiation in thymus	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0033554	cellular response to stress	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0034103	regulation of tissue remodeling	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0035264	multicellular organism growth	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0035794	positive regulation of mitochondrial membrane permeability	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0042127	regulation of cell population proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0043065	positive regulation of apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0043066	negative regulation of apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0043504	mitochondrial DNA repair	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0043523	regulation of neuron apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0043525	positive regulation of neuron apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0045861	negative regulation of proteolysis	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0045893	positive regulation of DNA-templated transcription	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029082|UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	UniProt	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0045930	negative regulation of mitotic cell cycle	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0045944	positive regulation of transcription by RNA polymerase II	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0048144	fibroblast proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0048147	negative regulation of fibroblast proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0048568	embryonic organ development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0050821	protein stabilization	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0051276	chromosome organization	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0051402	neuron apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0051726	regulation of cell cycle	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0060253	negative regulation of glial cell proliferation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0060411	cardiac septum morphogenesis	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of	GO:0070242	thymocyte apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0070243	regulation of thymocyte apoptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0070266	necroptotic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0071480	cellular response to gamma radiation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
UniProtKB	P04637	TP53	acts_upstream_of_or_within	GO:0071494	cellular response to UV-C	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P02340|ensembl:ENSMUSP00000104298	9606	Homo sapiens	Ensembl	Cellular tumor antigen p53	20250313
