GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0004842	ubiquitin-protein transferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P70196|ensembl:ENSMUSP00000004949|InterPro:IPR027139|InterPro:IPR037309	9606	Homo sapiens	UniProt	TNF receptor-associated factor 6	20250429
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005164	tumor necrosis factor receptor binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027139|InterPro:IPR037309	9606	Homo sapiens	InterPro	TNF receptor-associated factor 6	20250429
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:10465784	UniProtKB:Q9QZH6	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:10514511	UniProtKB:P07174	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:10920205	UniProtKB:Q86VP1	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:11463333	UniProtKB:Q9UGI0	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:11518704	UniProtKB:P51617	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:11518704	UniProtKB:Q9NYJ8	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:11751921	UniProtKB:Q8TD23	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12140561	UniProtKB:P25942	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12242293	UniProtKB:P51617	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12496252	UniProtKB:O43318	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15280356	UniProtKB:Q9HAV5	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15998638	UniProtKB:Q01220	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q12933	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16286467	UniProtKB:P14778	9606	Homo sapiens	IntAct	TNF receptor-associated factor 6	20250426
UniProtKB	Q9Y4K3	TRAF6	acts_upstream_of_or_within	GO:0001701	in utero embryonic development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70196|ensembl:ENSMUSP00000004949	9606	Homo sapiens	Ensembl	TNF receptor-associated factor 6	20250313
UniProtKB	Q9Y4K3	TRAF6	acts_upstream_of_or_within	GO:0002637	regulation of immunoglobulin production	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70196|ensembl:ENSMUSP00000004949	9606	Homo sapiens	Ensembl	TNF receptor-associated factor 6	20250313
UniProtKB	Q9Y4K3	TRAF6	acts_upstream_of_or_within	GO:0006955	immune response	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70196|ensembl:ENSMUSP00000004949	9606	Homo sapiens	Ensembl	TNF receptor-associated factor 6	20250313
UniProtKB	Q9Y4K3	TRAF6	acts_upstream_of_or_within	GO:0009887	animal organ morphogenesis	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70196|ensembl:ENSMUSP00000004949	9606	Homo sapiens	Ensembl	TNF receptor-associated factor 6	20250313
UniProtKB	Q9Y4K3	TRAF6	acts_upstream_of_or_within	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70196|ensembl:ENSMUSP00000004949	9606	Homo sapiens	Ensembl	TNF receptor-associated factor 6	20250313
