GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P41226	UBA7	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0029113|FB:FBgn0032054|MGI:MGI:1921494|PANTHER:PTN000102040|PomBase:SPBC1604.21c|SGD:S000001214|SGD:S000001693|SGD:S000006384|TAIR:locus:2062571|UniProtKB:A0AVT1|UniProtKB:O95352|UniProtKB:O95396|UniProtKB:P12282|UniProtKB:P22314|UniProtKB:P30138|UniProtKB:P41226|UniProtKB:Q57XC5|UniProtKB:Q586W2|UniProtKB:Q8I5F9|UniProtKB:Q8IDZ6|UniProtKB:Q8IIA3|UniProtKB:Q9GZZ9|WB:WBGene00004341|dictyBase:DDB_G0271096	9606	Homo sapiens	GO_Central	Ubiquitin-like modifier-activating enzyme 7	20241119
UniProtKB	P41226	UBA7	enables	GO:0019782	ISG15 activating enzyme activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1349462|PANTHER:PTN008313461|UniProtKB:P41226	9606	Homo sapiens	GO_Central	Ubiquitin-like modifier-activating enzyme 7	20230417
UniProtKB	P41226	UBA7	involved_in	GO:0032020	ISG15-protein conjugation	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1349462|PANTHER:PTN008313461|UniProtKB:P41226	9606	Homo sapiens	GO_Central	Ubiquitin-like modifier-activating enzyme 7	20230417
UniProtKB	P41226	UBA7	involved_in	GO:0045087	innate immune response	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008313461|UniProtKB:P41226	9606	Homo sapiens	GO_Central	Ubiquitin-like modifier-activating enzyme 7	20230417
UniProtKB	P41226	UBA7	involved_in	GO:0006974	DNA damage response	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000102404|UniProtKB:P22314	9606	Homo sapiens	GO_Central	Ubiquitin-like modifier-activating enzyme 7	20170228
UniProtKB	P41226	UBA7	enables	GO:0008641	ubiquitin-like modifier activating enzyme activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000011|InterPro:IPR035985	9606	Homo sapiens	InterPro	Ubiquitin-like modifier-activating enzyme 7	20250429
UniProtKB	P41226	UBA7	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20250428
UniProtKB	P41226	UBA7	enables	GO:0005524	ATP binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20250428
UniProtKB	P41226	UBA7	located_in	GO:0005634	nucleus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20250428
UniProtKB	P41226	UBA7	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0963|UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20250428
UniProtKB	P41226	UBA7	enables	GO:0016874	ligase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0436	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20250428
UniProtKB	P41226	UBA7	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:P05161	9606	Homo sapiens	IntAct	Ubiquitin-like modifier-activating enzyme 7	20250426
UniProtKB	P41226	UBA7	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17597759	UniProtKB:P05161	9606	Homo sapiens	IntAct	Ubiquitin-like modifier-activating enzyme 7	20250426
UniProtKB	P41226	UBA7	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P05161	9606	Homo sapiens	IntAct	Ubiquitin-like modifier-activating enzyme 7	20250426
UniProtKB	P41226	UBA7	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P05161	9606	Homo sapiens	IntAct	Ubiquitin-like modifier-activating enzyme 7	20250426
UniProtKB	P41226	UBA7	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q13148	9606	Homo sapiens	IntAct	Ubiquitin-like modifier-activating enzyme 7	20250426
UniProtKB	P41226	UBA7	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:P05161	9606	Homo sapiens	IntAct	Ubiquitin-like modifier-activating enzyme 7	20250426
UniProtKB	P41226	UBA7	enables	GO:0019782	ISG15 activating enzyme activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00085854|UniProtKB:Q9DBK7|ensembl:ENSMUSP00000035216	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20250313
UniProtKB	P41226	UBA7	acts_upstream_of_or_within	GO:0019941	modification-dependent protein catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9DBK7|ensembl:ENSMUSP00000035216	9606	Homo sapiens	Ensembl	Ubiquitin-like modifier-activating enzyme 7	20250313
UniProtKB	P41226	UBA7	acts_upstream_of_or_within	GO:0032020	ISG15-protein conjugation	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00092037|UniProtKB:Q9DBK7|ensembl:ENSMUSP00000035216	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20250313
UniProtKB	P41226	UBA7	enables	GO:0004842	ubiquitin-protein transferase activity	molecular_function	ECO:0000269	EXP	PMID:18583345		9606	Homo sapiens	Reactome	Ubiquitin-like modifier-activating enzyme 7	20240514
UniProtKB	P41226	UBA7	enables	GO:0004842	ubiquitin-protein transferase activity	molecular_function	ECO:0000269	EXP	PMID:19073728		9606	Homo sapiens	Reactome	Ubiquitin-like modifier-activating enzyme 7	20240514
UniProtKB	P41226	UBA7	involved_in	GO:0016567	protein ubiquitination	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00143	9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20240129
UniProtKB	P41226	UBA7	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000314	IDA	PMID:29743376		9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20220627
UniProtKB	P41226	UBA7	acts_upstream_of_or_within	GO:0032020	ISG15-protein conjugation	biological_process	ECO:0000314	IDA	PMID:15131269		9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20220627
UniProtKB	P41226	UBA7	acts_upstream_of_or_within	GO:0032020	ISG15-protein conjugation	biological_process	ECO:0000314	IDA	PMID:16407192		9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20220627
UniProtKB	P41226	UBA7	acts_upstream_of_or_within	GO:0045087	innate immune response	biological_process	ECO:0000314	IDA	PMID:28724761		9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20220627
UniProtKB	P41226	UBA7	involved_in	GO:0045087	innate immune response	biological_process	ECO:0000314	IDA	PMID:28724761		9606	Homo sapiens	UniProt	Ubiquitin-like modifier-activating enzyme 7	20220627
UniProtKB	P41226	UBA7	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-5653754		9606	Homo sapiens	Reactome	Ubiquitin-like modifier-activating enzyme 7	20141201
UniProtKB	P41226	UBA7	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-1169397		9606	Homo sapiens	Reactome	Ubiquitin-like modifier-activating enzyme 7	20130528
UniProtKB	P41226	UBA7	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-1169404		9606	Homo sapiens	Reactome	Ubiquitin-like modifier-activating enzyme 7	20130528
UniProtKB	P41226	UBA7	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-936563		9606	Homo sapiens	Reactome	Ubiquitin-like modifier-activating enzyme 7	20130528
