GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001525	angiogenesis	biological_process	ECO:0000315	IMP	PMID:28463231		10090	Mus musculus	MGI	Catenin beta-1	20250414
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001708	cell fate specification	biological_process	ECO:0000315	IMP	PMID:28463231		10090	Mus musculus	MGI	Catenin beta-1	20250414
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0019221	cytokine-mediated signaling pathway	biological_process	ECO:0000315	IMP	PMID:19619491	MGI:MGI:1856016	10090	Mus musculus	MGI	Catenin beta-1	20230928
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0002064	epithelial cell development	biological_process	ECO:0000315	IMP	PMID:16102745	MGI:MGI:2148567|MGI:MGI:3045749	10090	Mus musculus	MGI	Catenin beta-1	20230721
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001944	vasculature development	biological_process	ECO:0000315	IMP	PMID:25083995		10090	Mus musculus	MGI	Catenin beta-1	20221122
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0010467	gene expression	biological_process	ECO:0000315	IMP	PMID:25083995		10090	Mus musculus	MGI	Catenin beta-1	20221122
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	ECO:0000314	IDA	PMID:16040629		10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of	GO:0000165	MAPK cascade	biological_process	ECO:0000316	IGI	PMID:16478791	MGI:MGI:88039	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0000578	embryonic axis specification	biological_process	ECO:0000314	IDA	PMID:9230313		10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0000902	cell morphogenesis	biological_process	ECO:0000315	IMP	PMID:16102745	MGI:MGI:2148567|MGI:MGI:3045749	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001501	skeletal system development	biological_process	ECO:0000315	IMP	PMID:15866163	MGI:MGI:2148591|MGI:MGI:2148594|MGI:MGI:2450929	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001569	branching involved in blood vessel morphogenesis	biological_process	ECO:0000315	IMP	PMID:12975353	MGI:MGI:2148567	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001569	branching involved in blood vessel morphogenesis	biological_process	ECO:0000315	IMP	PMID:19154719	MGI:MGI:1858008	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001570	vasculogenesis	biological_process	ECO:0000315	IMP	PMID:18231602	MGI:MGI:2148567	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of	GO:0001649	osteoblast differentiation	biological_process	ECO:0000315	IMP	PMID:15866163	MGI:MGI:2148591|MGI:MGI:2148594|MGI:MGI:2450929	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001658	branching involved in ureteric bud morphogenesis	biological_process	ECO:0000315	IMP	PMID:17537789	MGI:MGI:1858008	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001701	in utero embryonic development	biological_process	ECO:0000315	IMP	PMID:18231602	MGI:MGI:2148567	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001701	in utero embryonic development	biological_process	ECO:0000316	IGI	PMID:19204372	MGI:MGI:1096327	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001702	gastrulation with mouth forming second	biological_process	ECO:0000315	IMP	PMID:8582267	MGI:MGI:1857678	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001706	endoderm formation	biological_process	ECO:0000315	IMP	PMID:12194849	MGI:MGI:1858007|MGI:MGI:2148567	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001706	endoderm formation	biological_process	ECO:0000315	IMP	PMID:23824574	MGI:MGI:2148567|MGI:MGI:4418897	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001708	cell fate specification	biological_process	ECO:0000315	IMP	PMID:15866163	MGI:MGI:2148591|MGI:MGI:2148594|MGI:MGI:2450929	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001708	cell fate specification	biological_process	ECO:0000315	IMP	PMID:15866163	MGI:MGI:2148591|MGI:MGI:2148594|MGI:MGI:2450929	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001711	endodermal cell fate commitment	biological_process	ECO:0000315	IMP	PMID:12194849	MGI:MGI:1858007|MGI:MGI:2148567	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001764	neuron migration	biological_process	ECO:0000316	IGI	PMID:21937711	MGI:MGI:1334448	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001822	kidney development	biological_process	ECO:0000315	IMP	PMID:17537789	MGI:MGI:1858008	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001840	neural plate development	biological_process	ECO:0000314	IDA	PMID:22102609		10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001894	tissue homeostasis	biological_process	ECO:0000315	IMP	PMID:18635608	MGI:MGI:1858008	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0001944	vasculature development	biological_process	ECO:0000315	IMP	PMID:19129494		10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0002052	positive regulation of neuroblast proliferation	biological_process	ECO:0000316	IGI	PMID:21937711	MGI:MGI:1334448	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0002053	positive regulation of mesenchymal cell proliferation	biological_process	ECO:0000315	IMP	PMID:18231602	MGI:MGI:2148567	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0002053	positive regulation of mesenchymal cell proliferation	biological_process	ECO:0000315	IMP	PMID:18533146	MGI:MGI:2148567	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of	GO:0002062	chondrocyte differentiation	biological_process	ECO:0000315	IMP	PMID:15866163	MGI:MGI:2148591|MGI:MGI:2148594|MGI:MGI:2450929	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of	GO:0002062	chondrocyte differentiation	biological_process	ECO:0000316	IGI	PMID:16818445	MGI:MGI:2446084	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0002089	lens morphogenesis in camera-type eye	biological_process	ECO:0000315	IMP	PMID:16102745	MGI:MGI:2148567|MGI:MGI:3045749	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0003266	regulation of secondary heart field cardioblast proliferation	biological_process	ECO:0000314	IDA	PMID:19620969		10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0003338	metanephros morphogenesis	biological_process	ECO:0000315	IMP	PMID:19060336		10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of_or_within	GO:0003340	negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	biological_process	ECO:0000314	IDA	PMID:17537789		10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of	GO:0006351	DNA-templated transcription	biological_process	ECO:0000315	IMP	PMID:15866163	MGI:MGI:1858008	10090	Mus musculus	MGI	Catenin beta-1	20220408
UniProtKB	Q02248	Ctnnb1	acts_upstream_of	GO:0006351	DNA-templated transcription	biological_process	ECO:0000315	IMP	PMID:15866163	MGI:MGI:1858008	10090	Mus musculus	MGI	Catenin beta-1	20220408
