GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O42644	ura7	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266452|PANTHER:PTN000167476	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	CTP synthase	20241120
UniProtKB	O42644	ura7	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000167473|UniProtKB:P0A7E5|UniProtKB:P17812|UniProtKB:Q9NRF8	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	CTP synthase	20230602
UniProtKB	O42644	ura7	enables	GO:0003883	CTP synthase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266452|PANTHER:PTN000167473|SGD:S000000135|SGD:S000003864|TAIR:locus:2132208|UniProtKB:P0A7E5|UniProtKB:P17812|UniProtKB:Q8ILZ3	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	CTP synthase	20230110
UniProtKB	O42644	ura7	involved_in	GO:0006241	CTP biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266452|PANTHER:PTN000167473|SGD:S000000135|SGD:S000003864|UniProtKB:P0A7E5|UniProtKB:P17812|UniProtKB:Q8ILZ3	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	CTP synthase	20230110
UniProtKB	O42644	ura7	is_active_in	GO:0097268	cytoophidium	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266452|PANTHER:PTN000167476|PomBase:SPAC10F6.03c|SGD:S000000135|SGD:S000003864|UniProtKB:P17812	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	CTP synthase	20200807
UniProtKB	O42644	ura7	involved_in	GO:0019856	pyrimidine nucleobase biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000167473|SGD:S000000135	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	CTP synthase	20180918
UniProtKB	O42644	ura7	enables	GO:0003883	CTP synthase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004468|InterPro:IPR017456|InterPro:IPR033828|RHEA:26426|EC:6.3.4.2	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	CTP synthase	20250429
UniProtKB	O42644	ura7	involved_in	GO:0006221	pyrimidine nucleotide biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004468|InterPro:IPR017456|UniProtKB-KW:KW-0665	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	CTP synthase	20250429
UniProtKB	O42644	ura7	involved_in	GO:0006241	CTP biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033828	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	InterPro	CTP synthase	20250429
UniProtKB	O42644	ura7	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	CTP synthase	20250428
UniProtKB	O42644	ura7	enables	GO:0005524	ATP binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	CTP synthase	20250428
UniProtKB	O42644	ura7	enables	GO:0016874	ligase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0436	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	CTP synthase	20250428
UniProtKB	O42644	ura7	located_in	GO:0097268	cytoophidium	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00089783	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	CTP synthase	20250428
UniProtKB	O42644	ura7	involved_in	GO:0044210	'de novo' CTP biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00159	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	CTP synthase	20240129
UniProtKB	O42644	ura7	is_active_in	GO:0097268	cytoophidium	cellular_component	ECO:0000314	IDA	PMID:31611173		284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	PomBase	CTP synthase	20191023
UniProtKB	O42644	ura7	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0007005	HDA	PMID:16823372		284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	PomBase	CTP synthase	20091111
UniProtKB	O42644	ura7	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000266	ISO	GO_REF:0000024	SGD:S000000135	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	PomBase	CTP synthase	20050627
UniProtKB	O42644	ura7	involved_in	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	biological_process	ECO:0000266	ISO	GO_REF:0000024	SGD:S000000135	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	PomBase	CTP synthase	20050627
