GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q09137	Prkaa2	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000198568|FB:FBgn0023169|FB:FBgn0025625|FB:FBgn0038630|FB:FBgn0262103|MGI:MGI:104754|MGI:MGI:106924|MGI:MGI:1347557|MGI:MGI:1347559|MGI:MGI:1918349|MGI:MGI:1929914|MGI:MGI:2145955|MGI:MGI:2148775|MGI:MGI:2445031|MGI:MGI:2685946|PANTHER:PTN000678822|PomBase:SPAC57A10.02|PomBase:SPAC644.06c|PomBase:SPBC4F6.06|PomBase:SPCC1020.10|PomBase:SPCC297.03|RGD:1563268|RGD:1566256|RGD:3387|RGD:620893|RGD:69407|RGD:69653|SGD:S000000931|SGD:S000001531|SGD:S000002655|SGD:S000002885|SGD:S000004086|SGD:S000005127|SGD:S000005759|TAIR:locus:2009812|TAIR:locus:2094672|TAIR:locus:2102132|UniProtKB:C8V9K6|UniProtKB:O14757|UniProtKB:O60285|UniProtKB:P54646|UniProtKB:Q0D4J7|UniProtKB:Q13131|UniProtKB:Q14680|UniProtKB:Q6SA08|UniProtKB:Q6ZI44|UniProtKB:Q8IWQ3|UniProtKB:Q8IY84|UniProtKB:Q8TDC3|UniProtKB:Q96PF2|UniProtKB:Q96PN8|UniProtKB:Q9BXA6|UniProtKB:Q9BXA7|UniProtKB:Q9H093|UniProtKB:Q9H0K1|UniProtKB:Q9NRH2|WB:WBGene00002210|WB:WBGene00003919|WB:WBGene00020142|WB:WBGene00021012|ZFIN:ZDB-GENE-040426-1724	10116	Rattus norvegicus	GO_Central	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250412
UniProtKB	Q09137	Prkaa2	involved_in	GO:0010508	positive regulation of autophagy	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0023169|MGI:MGI:1336173|MGI:MGI:2145955|PANTHER:PTN001217983|UniProtKB:Q13131	10116	Rattus norvegicus	GO_Central	5'-AMP-activated protein kinase catalytic subunit alpha-2	20240924
UniProtKB	Q09137	Prkaa2	involved_in	GO:0042149	cellular response to glucose starvation	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1336173|MGI:MGI:2145955|PANTHER:PTN001217983|UniProtKB:P54646|UniProtKB:Q13131	10116	Rattus norvegicus	GO_Central	5'-AMP-activated protein kinase catalytic subunit alpha-2	20230704
UniProtKB	Q09137	Prkaa2	involved_in	GO:0006338	chromatin remodeling	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0140823	10116	Rattus norvegicus	GOC	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250430
UniProtKB	Q09137	Prkaa2	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000719|InterPro:IPR008271	10116	Rattus norvegicus	InterPro	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250429
UniProtKB	Q09137	Prkaa2	enables	GO:0004679	AMP-activated protein kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027028|InterPro:IPR039148	10116	Rattus norvegicus	UniProt	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250429
UniProtKB	Q09137	Prkaa2	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000719|InterPro:IPR017441|UniProtKB-KW:KW-0067	10116	Rattus norvegicus	UniProt	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250429
UniProtKB	Q09137	Prkaa2	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	10116	Rattus norvegicus	UniProt	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250428
UniProtKB	Q09137	Prkaa2	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	EC:2.7.11.1|UniProtKB-KW:KW-0723	10116	Rattus norvegicus	UniProt	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250428
UniProtKB	Q09137	Prkaa2	involved_in	GO:0006325	chromatin organization	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0156	10116	Rattus norvegicus	UniProt	5'-AMP-activated protein kinase catalytic subunit alpha-2	20250428
