GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q03336	Rgn	enables	GO:0004341	gluconolactonase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:108024|PANTHER:PTN000097355|RGD:3560|UniProtKB:Q15493	10116	Rattus norvegicus	GO_Central	Regucalcin	20170228
UniProtKB	Q03336	Rgn	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000097355|RGD:3560|UniProtKB:Q15493	10116	Rattus norvegicus	GO_Central	Regucalcin	20170228
UniProtKB	Q03336	Rgn	involved_in	GO:0019853	L-ascorbic acid biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:108024|PANTHER:PTN000097355	10116	Rattus norvegicus	GO_Central	Regucalcin	20170228
UniProtKB	Q03336	Rgn	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008367	10116	Rattus norvegicus	InterPro	Regucalcin	20250429
UniProtKB	Q03336	Rgn	enables	GO:0030234	enzyme regulator activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008367	10116	Rattus norvegicus	InterPro	Regucalcin	20250429
UniProtKB	Q03336	Rgn	enables	GO:0004341	gluconolactonase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00086705|RHEA:10440|EC:3.1.1.17	10116	Rattus norvegicus	UniProt	Regucalcin	20250428
UniProtKB	Q03336	Rgn	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0963|UniProtKB-SubCell:SL-0086	10116	Rattus norvegicus	UniProt	Regucalcin	20250428
UniProtKB	Q03336	Rgn	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	10116	Rattus norvegicus	UniProt	Regucalcin	20250428
UniProtKB	Q03336	Rgn	involved_in	GO:0019853	L-ascorbic acid biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0060	10116	Rattus norvegicus	UniProt	Regucalcin	20250428
UniProtKB	Q03336	Rgn	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	10116	Rattus norvegicus	UniProt	Regucalcin	20250428
UniProtKB	Q03336	Rgn	involved_in	GO:0010558	negative regulation of macromolecule biosynthetic process	biological_process	ECO:0000314	IDA	PMID:2280766		10116	Rattus norvegicus	RGD	Regucalcin	20141126
UniProtKB	Q03336	Rgn	involved_in	GO:1903011	negative regulation of bone development	biological_process	ECO:0000315	IMP	PMID:11129957		10116	Rattus norvegicus	RGD	Regucalcin	20141126
UniProtKB	Q03336	Rgn	involved_in	GO:1903011	negative regulation of bone development	biological_process	ECO:0000314	IDA	PMID:12239582		10116	Rattus norvegicus	RGD	Regucalcin	20141126
UniProtKB	Q03336	Rgn	involved_in	GO:1903625	negative regulation of DNA catabolic process	biological_process	ECO:0000314	IDA	PMID:2001740		10116	Rattus norvegicus	RGD	Regucalcin	20141126
UniProtKB	Q03336	Rgn	involved_in	GO:0010867	positive regulation of triglyceride biosynthetic process	biological_process	ECO:0000314	IDA	PMID:16817230		10116	Rattus norvegicus	RGD	Regucalcin	20141120
UniProtKB	Q03336	Rgn	involved_in	GO:0010907	positive regulation of glucose metabolic process	biological_process	ECO:0000314	IDA	PMID:16817230		10116	Rattus norvegicus	RGD	Regucalcin	20141120
UniProtKB	Q03336	Rgn	involved_in	GO:0043066	negative regulation of apoptotic process	biological_process	ECO:0000314	IDA	PMID:15806309		10116	Rattus norvegicus	RGD	Regucalcin	20141120
UniProtKB	Q03336	Rgn	involved_in	GO:0045723	positive regulation of fatty acid biosynthetic process	biological_process	ECO:0000314	IDA	PMID:16817230		10116	Rattus norvegicus	RGD	Regucalcin	20141120
UniProtKB	Q03336	Rgn	involved_in	GO:0050680	negative regulation of epithelial cell proliferation	biological_process	ECO:0000314	IDA	PMID:16142398		10116	Rattus norvegicus	RGD	Regucalcin	20141120
UniProtKB	Q03336	Rgn	involved_in	GO:0001822	kidney development	biological_process	ECO:0000270	IEP	PMID:8794449		10116	Rattus norvegicus	RGD	Regucalcin	20141119
