GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	Q21190	unc-1	enables	GO:0008200	F	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:95403|PANTHER:PTN000813925	6239	GO_Central		20250324
UniProtKB	Q21190	unc-1	enables	GO:0099106	F	ECO:0000315	IMP	PMID:17658257		6239	WB	has_input(WB:WBGene00006749)	20200515
UniProtKB	Q21190	unc-1	involved_in	GO:0009410	P	ECO:0000315	IMP	PMID:11287347	WB:WBVar00089548	6239	WB		20060828
UniProtKB	Q21190	unc-1	involved_in	GO:0010650	P	ECO:0000315	IMP	PMID:17658257		6239	WB		20180215
UniProtKB	Q21190	unc-1	is_active_in	GO:0005886	C	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000186897|MGI:MGI:1916356|MGI:MGI:2157018|MGI:MGI:95403|PANTHER:PTN000029715|UniProtKB:P27105|UniProtKB:Q9NP85|WB:WBGene00003166	6239	GO_Central		20230109
UniProtKB	Q21190	unc-1	located_in	GO:0005886	C	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR043202|UniProtKB-KW:KW-1003|UniProtKB-SubCell:SL-0039	6239	UniProt		20250429
UniProtKB	Q21190	unc-1	located_in	GO:0005911	C	ECO:0000314	IDA	PMID:17658257		6239	WB		20070906
UniProtKB	Q21190	unc-1	located_in	GO:0005921	C	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0303|UniProtKB-SubCell:SL-0124	6239	UniProt		20250428
UniProtKB	Q21190	unc-1	located_in	GO:0005921	C	ECO:0000314	IDA	PMID:27015090		6239	UniProt		20190830
UniProtKB	Q21190	unc-1	located_in	GO:0016020	C	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001972|UniProtKB-KW:KW-0472	6239	UniProt		20250429
UniProtKB	Q21190	unc-1	located_in	GO:0030424	C	ECO:0000314	IDA	PMID:11287347		6239	WB		20060828
UniProtKB	Q21190	unc-1	located_in	GO:0043005	C	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027418	6239	UniProt		20250428
UniProtKB	Q21190	unc-1	located_in	GO:0070161	C	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0965	6239	UniProt		20250428
