GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q04958	NTE1	enables	GO:0004622	phosphatidylcholine lysophospholipase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0003656|MGI:MGI:1354723|MGI:MGI:2385325|PANTHER:PTN000369206|SGD:S000004524|UniProtKB:Q8IY17	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Lysophospholipase NTE1	20220923
UniProtKB	Q04958	NTE1	is_active_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0003656|MGI:MGI:2385325|PANTHER:PTN000369206|SGD:S000004524|UniProtKB:Q8IY17	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Lysophospholipase NTE1	20210101
UniProtKB	Q04958	NTE1	enables	GO:0004622	phosphatidylcholine lysophospholipase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00035748|InterPro:IPR001423|RHEA:15177|EC:3.1.1.5	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	located_in	GO:0005811	lipid droplet	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0154	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR002641|UniProtKB-KW:KW-0443	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	involved_in	GO:0016042	lipid catabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0442	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	involved_in	GO:0046470	phosphatidylcholine metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001423	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	InterPro	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	involved_in	GO:0046486	glycerolipid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028375	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	enables	GO:0102545	phospholipase B activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:32907	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	RHEA	Lysophospholipase NTE1	20250901
UniProtKB	Q04958	NTE1	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0007005	HDA	PMID:26928762		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Lysophospholipase NTE1	20181120
UniProtKB	Q04958	NTE1	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0007005	HDA	PMID:14562095		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Lysophospholipase NTE1	20181119
UniProtKB	Q04958	NTE1	enables	GO:0004622	phosphatidylcholine lysophospholipase activity	molecular_function	ECO:0000314	IDA	PMID:15044461		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Lysophospholipase NTE1	20130807
UniProtKB	Q04958	NTE1	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000314	IDA	PMID:15044461		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Lysophospholipase NTE1	20130807
UniProtKB	Q04958	NTE1	involved_in	GO:0034638	phosphatidylcholine catabolic process	biological_process	ECO:0000315	IMP	PMID:15044461		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Lysophospholipase NTE1	20130807
UniProtKB	Q04958	NTE1	involved_in	GO:0071071	regulation of phospholipid biosynthetic process	biological_process	ECO:0000315	IMP	PMID:19841481		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Lysophospholipase NTE1	20130807
