GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9HDX8	alo1	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000174500|PANTHER:PTN001015900|SGD:S000004551	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	D-arabinono-1,4-lactone oxidase	20250413
UniProtKB	Q9HDX8	alo1	enables	GO:0003885	D-arabinono-1,4-lactone oxidase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000174500|PANTHER:PTN001015900|SGD:S000004551	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	GO_Central	D-arabinono-1,4-lactone oxidase	20210625
UniProtKB	Q9HDX8	alo1	enables	GO:0003885	D-arabinono-1,4-lactone oxidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR007173|RHEA:23756|EC:1.1.3.37	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	D-arabinono-1,4-lactone oxidase	20250901
UniProtKB	Q9HDX8	alo1	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007173	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	InterPro	D-arabinono-1,4-lactone oxidase	20250901
UniProtKB	Q9HDX8	alo1	enables	GO:0016491	oxidoreductase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	D-arabinono-1,4-lactone oxidase	20250901
UniProtKB	Q9HDX8	alo1	enables	GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010031	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	InterPro	D-arabinono-1,4-lactone oxidase	20250901
UniProtKB	Q9HDX8	alo1	located_in	GO:0031966	mitochondrial membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0171	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	UniProt	D-arabinono-1,4-lactone oxidase	20250901
UniProtKB	Q9HDX8	alo1	enables	GO:0050660	flavin adenine dinucleotide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006094|InterPro:IPR036318	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	InterPro	D-arabinono-1,4-lactone oxidase	20250901
UniProtKB	Q9HDX8	alo1	enables	GO:0071949	FAD binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016166	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	InterPro	D-arabinono-1,4-lactone oxidase	20250901
UniProtKB	Q9HDX8	alo1	involved_in	GO:0070485	dehydro-D-arabinono-1,4-lactone biosynthetic process	biological_process	ECO:0000266	ISO	GO_REF:0000024	SGD:S000004551	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	PomBase	D-arabinono-1,4-lactone oxidase	20150516
UniProtKB	Q9HDX8	alo1	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0007005	HDA	PMID:16823372		284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	PomBase	D-arabinono-1,4-lactone oxidase	20091111
UniProtKB	Q9HDX8	alo1	is_active_in	GO:0005741	mitochondrial outer membrane	cellular_component	ECO:0000266	ISO	GO_REF:0000024	SGD:S000004551	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	PomBase	D-arabinono-1,4-lactone oxidase	20080218
