GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88JH0	pedH	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00043315|InterPro:IPR017512	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Quinoprotein alcohol dehydrogenase PedH	20250429
UniProtKB	Q88JH0	pedH	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017512	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Quinoprotein alcohol dehydrogenase PedH	20250429
UniProtKB	Q88JH0	pedH	enables	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017512|InterPro:IPR034119	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Quinoprotein alcohol dehydrogenase PedH	20250429
UniProtKB	Q88JH0	pedH	located_in	GO:0030288	outer membrane-bounded periplasmic space	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001479	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Quinoprotein alcohol dehydrogenase PedH	20250429
UniProtKB	Q88JH0	pedH	enables	GO:0016491	oxidoreductase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028747|UniProtKB-KW:KW-0560	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Quinoprotein alcohol dehydrogenase PedH	20250428
UniProtKB	Q88JH0	pedH	enables	GO:0020037	heme binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026797	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Quinoprotein alcohol dehydrogenase PedH	20250428
UniProtKB	Q88JH0	pedH	located_in	GO:0042597	periplasmic space	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0574|UniProtKB-SubCell:SL-0200	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Quinoprotein alcohol dehydrogenase PedH	20250428
UniProtKB	Q88JH0	pedH	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Quinoprotein alcohol dehydrogenase PedH	20250428
UniProtKB	Q88JH0	pedH	enables	GO:0052934	alcohol dehydrogenase (cytochrome c) activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:51020|EC:1.1.2.8	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Quinoprotein alcohol dehydrogenase PedH	20250428
UniProtKB	Q88JH0	pedH	enables	GO:0070968	pyrroloquinoline quinone binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00086199	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Quinoprotein alcohol dehydrogenase PedH	20250428
