GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P00392	merA	enables	GO:0003955	NAD(P)H dehydrogenase (quinone) activity	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN005140324	287	Pseudomonas aeruginosa	TreeGrafter	Mercuric reductase	20250429
UniProtKB	P00392	merA	enables	GO:0016152	mercury (II) reductase (NADP+) activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR021179|RHEA:23856|EC:1.16.1.1	287	Pseudomonas aeruginosa	UniProt	Mercuric reductase	20250429
UniProtKB	P00392	merA	enables	GO:0016491	oxidoreductase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001100|InterPro:IPR021179|InterPro:IPR023753|UniProtKB-KW:KW-0560	287	Pseudomonas aeruginosa	UniProt	Mercuric reductase	20250429
UniProtKB	P00392	merA	enables	GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012999	287	Pseudomonas aeruginosa	InterPro	Mercuric reductase	20250429
UniProtKB	P00392	merA	enables	GO:0045340	mercury ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021179	287	Pseudomonas aeruginosa	InterPro	Mercuric reductase	20250429
UniProtKB	P00392	merA	enables	GO:0046872	metal ion binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006121|InterPro:IPR017969|InterPro:IPR036163|UniProtKB-KW:KW-0479	287	Pseudomonas aeruginosa	UniProt	Mercuric reductase	20250429
UniProtKB	P00392	merA	enables	GO:0050660	flavin adenine dinucleotide binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026381|InterPro:IPR021179|PANTHER:PTN005140324	287	Pseudomonas aeruginosa	UniProt	Mercuric reductase	20250429
UniProtKB	P00392	merA	enables	GO:0050661	NADP binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021179	287	Pseudomonas aeruginosa	InterPro	Mercuric reductase	20250429
UniProtKB	P00392	merA	involved_in	GO:0050787	detoxification of mercury ion	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021179	287	Pseudomonas aeruginosa	InterPro	Mercuric reductase	20250429
UniProtKB	P00392	merA	involved_in	GO:0006979	response to oxidative stress	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026273	287	Pseudomonas aeruginosa	UniProt	Mercuric reductase	20250428
UniProtKB	P00392	merA	involved_in	GO:0046689	response to mercury ion	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0475	287	Pseudomonas aeruginosa	UniProt	Mercuric reductase	20250428
