GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P35498	SCN1A	part_of	GO:0001518	voltage-gated sodium channel complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008692511|UniProtKB:P35499|UniProtKB:Q14524|UniProtKB:Q9NY46|UniProtKB:Q9UQD0|UniProtKB:Q9Y5Y9	9606	Homo sapiens	GO_Central	Sodium channel protein type 1 subunit alpha	20241121
UniProtKB	P35498	SCN1A	enables	GO:0005248	voltage-gated sodium channel activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008692511|UniProtKB:P35498|UniProtKB:P35499|UniProtKB:Q14524|UniProtKB:Q15858|UniProtKB:Q99250|UniProtKB:Q9NY46|UniProtKB:Q9UI33|UniProtKB:Q9UQD0|UniProtKB:Q9Y5Y9	9606	Homo sapiens	GO_Central	Sodium channel protein type 1 subunit alpha	20241121
UniProtKB	P35498	SCN1A	involved_in	GO:0035725	sodium ion transmembrane transport	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008692511|UniProtKB:P35499|UniProtKB:Q14524|UniProtKB:Q9Y5Y9	9606	Homo sapiens	GO_Central	Sodium channel protein type 1 subunit alpha	20241121
UniProtKB	P35498	SCN1A	involved_in	GO:0086002	cardiac muscle cell action potential involved in contraction	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008692511|UniProtKB:P35498|UniProtKB:Q14524	9606	Homo sapiens	GO_Central	Sodium channel protein type 1 subunit alpha	20230712
UniProtKB	P35498	SCN1A	involved_in	GO:0099505	regulation of presynaptic membrane potential	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0099508	9606	Homo sapiens	GOC	Sodium channel protein type 1 subunit alpha	20250430
UniProtKB	P35498	SCN1A	part_of	GO:0001518	voltage-gated sodium channel complex	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001696|InterPro:IPR008051|InterPro:IPR010526	9606	Homo sapiens	InterPro	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	enables	GO:0005216	monoatomic ion channel activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005821	9606	Homo sapiens	InterPro	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	enables	GO:0005248	voltage-gated sodium channel activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026459|UniProtKB:A2APX8|ensembl:ENSMUSP00000107985|InterPro:IPR001696|InterPro:IPR008051|InterPro:IPR010526	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	enables	GO:0005261	monoatomic cation channel activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR043203	9606	Homo sapiens	InterPro	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR043203|UniProtKB-KW:KW-1003|UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	involved_in	GO:0006811	monoatomic ion transport	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR005821|UniProtKB-KW:KW-0406	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	involved_in	GO:0006814	sodium ion transport	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985|InterPro:IPR001696|InterPro:IPR008051|InterPro:IPR010526|UniProtKB-KW:KW-0739	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	located_in	GO:0016020	membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985|InterPro:IPR005821|UniProtKB-KW:KW-0472	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	involved_in	GO:0055085	transmembrane transport	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005821	9606	Homo sapiens	InterPro	Sodium channel protein type 1 subunit alpha	20250429
UniProtKB	P35498	SCN1A	involved_in	GO:0001508	action potential	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028325	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250428
UniProtKB	P35498	SCN1A	enables	GO:0005272	sodium channel activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0894	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250428
UniProtKB	P35498	SCN1A	involved_in	GO:0034220	monoatomic ion transmembrane transport	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0407|UniProtKB-KW:KW-0851	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250428
UniProtKB	P35498	SCN1A	part_of	GO:0034702	monoatomic ion channel complex	cellular_component	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0851	9606	Homo sapiens	UniProt	Sodium channel protein type 1 subunit alpha	20250428
UniProtKB	P35498	SCN1A	acts_upstream_of_or_within	GO:0007628	adult walking behavior	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	acts_upstream_of_or_within	GO:0008340	determination of adult lifespan	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	located_in	GO:0014704	intercalated disc	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	acts_upstream_of_or_within	GO:0019227	neuronal action potential propagation	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	acts_upstream_of_or_within	GO:0019228	neuronal action potential	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	acts_upstream_of_or_within	GO:0021675	nerve development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	located_in	GO:0030018	Z disc	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	located_in	GO:0030315	T-tubule	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	located_in	GO:0030424	axon	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	located_in	GO:0033268	node of Ranvier	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	part_of	GO:0034706	sodium channel complex	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	acts_upstream_of_or_within	GO:0042391	regulation of membrane potential	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
UniProtKB	P35498	SCN1A	located_in	GO:0043025	neuronal cell body	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2APX8|ensembl:ENSMUSP00000107985	9606	Homo sapiens	Ensembl	Sodium channel protein type 1 subunit alpha	20250313
