GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	A0A1S7IWC7	M2	enables	GO:0005216	monoatomic ion channel activity	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	involved_in	GO:0006811	monoatomic ion transport	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0406	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	enables	GO:0015078	proton transmembrane transporter activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR002089|UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	enables	GO:0015267	channel activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1182	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	located_in	GO:0020002	host cell plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-SubCell:SL-0372|UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	located_in	GO:0033644	host cell membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR002089|UniProtKB-KW:KW-1182	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	involved_in	GO:0034220	monoatomic ion transmembrane transport	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0407	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	located_in	GO:0044423	virion component	cellular_component	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0946	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	involved_in	GO:0044694	symbiont genome entry into host cell via pore formation in plasma membrane	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	involved_in	GO:0051259	protein complex oligomerization	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	located_in	GO:0055036	virion membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR002089|UniProtKB-SubCell:SL-0275|UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	involved_in	GO:0140321	symbiont-mediated suppression of host autophagy	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-1083|UniRule:UR000568405	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
UniProtKB	A0A1S7IWC7	M2	involved_in	GO:1902600	proton transmembrane transport	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR002089|UniProtKB-KW:KW-0375	11320	Influenza A virus	UniProt	Matrix protein 2	20250901
