GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P31867	XYL1	enables	GO:0016491	oxidoreductase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR018170|InterPro:IPR020471|UniProtKB-KW:KW-0560	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	UniProt	NAD(P)H-dependent D-xylose reductase	20250429
UniProtKB	P31867	XYL1	enables	GO:0032866	D-xylose reductase (NADPH) activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P38715|sgd:YHR104W|InterPro:IPR044486|RHEA:27445	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	UniProt	NAD(P)H-dependent D-xylose reductase	20250429
UniProtKB	P31867	XYL1	enables	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028442	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	UniProt	NAD(P)H-dependent D-xylose reductase	20250428
UniProtKB	P31867	XYL1	involved_in	GO:0042732	D-xylose metabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0859	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	UniProt	NAD(P)H-dependent D-xylose reductase	20250428
UniProtKB	P31867	XYL1	enables	GO:0003729	mRNA binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P38715|sgd:YHR104W	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	EnsemblFungi	NAD(P)H-dependent D-xylose reductase	20250418
UniProtKB	P31867	XYL1	enables	GO:0004032	aldose reductase (NADPH) activity	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P38715|sgd:YHR104W	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	EnsemblFungi	NAD(P)H-dependent D-xylose reductase	20250418
UniProtKB	P31867	XYL1	involved_in	GO:0019388	galactose catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P38715|sgd:YHR104W	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	EnsemblFungi	NAD(P)H-dependent D-xylose reductase	20250418
UniProtKB	P31867	XYL1	involved_in	GO:0019568	arabinose catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P38715|sgd:YHR104W	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	EnsemblFungi	NAD(P)H-dependent D-xylose reductase	20250418
UniProtKB	P31867	XYL1	involved_in	GO:0034599	cellular response to oxidative stress	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P38715|sgd:YHR104W	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	EnsemblFungi	NAD(P)H-dependent D-xylose reductase	20250418
UniProtKB	P31867	XYL1	involved_in	GO:0042843	D-xylose catabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P38715|sgd:YHR104W|UniPathway:UPA00810	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	UniProt	NAD(P)H-dependent D-xylose reductase	20250418
UniProtKB	P31867	XYL1	involved_in	GO:0071470	cellular response to osmotic stress	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P38715|sgd:YHR104W	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	EnsemblFungi	NAD(P)H-dependent D-xylose reductase	20250418
