GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P29032	P29032	enables	GO:0004568	chitinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000726	3694	Populus trichocarpa	InterPro	Acidic endochitinase WIN6.2C	20250429
UniProtKB	P29032	P29032	involved_in	GO:0006032	chitin catabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000726|UniProtKB-KW:KW-0146	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250429
UniProtKB	P29032	P29032	enables	GO:0008061	chitin binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001002|InterPro:IPR018371|InterPro:IPR036861|UniProtKB-KW:KW-0147	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250429
UniProtKB	P29032	P29032	involved_in	GO:0016998	cell wall macromolecule catabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000726	3694	Populus trichocarpa	InterPro	Acidic endochitinase WIN6.2C	20250429
UniProtKB	P29032	P29032	involved_in	GO:0000272	polysaccharide catabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0624	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250428
UniProtKB	P29032	P29032	involved_in	GO:0006952	defense response	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0611	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250428
UniProtKB	P29032	P29032	enables	GO:0008843	endochitinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:3.2.1.14	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250428
UniProtKB	P29032	P29032	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250428
UniProtKB	P29032	P29032	enables	GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0326	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250428
UniProtKB	P29032	P29032	involved_in	GO:0098542	defense response to other organism	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027395	3694	Populus trichocarpa	UniProt	Acidic endochitinase WIN6.2C	20250428
