protein_id,gene_symbol,taxon_id,taxon_label,term_id,term_label,term_description,term_ontology,evidence_type,negated,original_reference_id,original_reference_title,supporting_entities,extensions,review_summary,review_action,review_reason,review_supporting_text,review_proposed_replacement_terms,review_additional_reference_ids
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0003723,RNA binding,,,IBA,,GO_REF:0000033,Annotation inferences using phylogenetic trees,,,This IBA annotation is well-supported. APO1 contains the DUF794 domain which has been experimentally demonstrated to be an RNA-binding domain with high affinity for RNA in vitro (PMID:21421812). The phylogenetic inference is consistent with the experimental evidence from both Arabidopsis and maize homologs.,ACCEPT,Core molecular function confirmed by direct experimental evidence showing high-affinity RNA binding through the DUF794 domain. This is the primary molecular function enabling its role in chloroplast intron splicing.,,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0003723,RNA binding,,,IEA,,GO_REF:0000002,Gene Ontology annotation through association of InterPro records with GO terms.,,,"This automated annotation based on InterPro domain analysis is redundant with the experimental evidence (IDA) and phylogenetic inference (IBA) for the same term. While correct, it adds no additional value.",REMOVE,Redundant with higher-quality evidence (IDA and IBA) for the same function. Automated annotations should be removed when experimental evidence exists.,,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0009507,chloroplast,,,IEA,,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,This automated annotation is redundant with experimental evidence (IDA) showing chloroplast localization. The IEA annotation should be removed in favor of the experimentally supported annotation.,REMOVE,Redundant with IDA evidence from PMID:15494558 showing chloroplast localization. Automated annotations should be removed when direct experimental evidence exists.,,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0009536,plastid,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"This annotation to the general term 'plastid' is less specific than the experimentally validated 'chloroplast' localization. Chloroplast is a type of plastid, making this annotation both redundant and less informative.",REMOVE,"Redundant and less specific than the chloroplast annotation. APO1 specifically localizes to chloroplasts, not other plastid types. The more specific chloroplast annotation with experimental evidence should be retained.",,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0000373,Group II intron splicing,,,IMP,,PMID:21421812,APO1 promotes the splicing of chloroplast group II introns and harbors a plant-specific zinc-dependent RNA binding domain.,,,"Excellent annotation strongly supported by mutant phenotype analysis. In apo1 mutants, ycf3-intron 2 remains completely unspliced and petD intron splicing is strongly reduced, with several other introns also compromised. This is the core biological process function of APO1.",ACCEPT,Direct experimental evidence from mutant analysis showing specific defects in chloroplast group II intron splicing. This represents the primary biological function through which APO1 affects photosystem assembly.,,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0003723,RNA binding,,,IDA,,PMID:21421812,APO1 promotes the splicing of chloroplast group II introns and harbors a plant-specific zinc-dependent RNA binding domain.,,,Strong direct experimental evidence showing that recombinant APO1 from both Arabidopsis and maize binds RNA with high affinity in vitro. This confirms the molecular function predicted by the DUF794 domain.,ACCEPT,"Core molecular function with direct experimental validation. The study demonstrated high-affinity RNA binding in vitro, establishing this as the primary molecular function of APO1.",,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0008270,zinc ion binding,,,IDA,,PMID:21421812,APO1 promotes the splicing of chloroplast group II introns and harbors a plant-specific zinc-dependent RNA binding domain.,,,"Well-supported annotation. The DUF794 domain contains zinc finger-like motifs that bind zinc ions, and these are essential for APO1 function. The zinc binding is required for the RNA-binding activity of the protein.",ACCEPT,Direct experimental evidence shows DUF794 harbors zinc-binding motifs essential for APO1 function. This represents a core molecular function that enables RNA binding activity.,,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0009507,chloroplast,,,IDA,,PMID:15494558,"ACCUMULATION OF PHOTOSYSTEM ONE1, a member of a novel gene family, is required for accumulation of [4Fe-4S] cluster-containing chloroplast complexes and antenna proteins.",,,"Experimentally validated chloroplast localization. APO1 contains a transit peptide and was shown to localize to chloroplasts, where it performs its RNA splicing function.",ACCEPT,"Direct experimental evidence for chloroplast localization, consistent with the presence of a transit peptide and the protein's function in chloroplast RNA metabolism.",,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0009658,chloroplast organization,,,IMP,,PMID:15494558,"ACCUMULATION OF PHOTOSYSTEM ONE1, a member of a novel gene family, is required for accumulation of [4Fe-4S] cluster-containing chloroplast complexes and antenna proteins.",,,"While apo1 mutants do show defective chloroplast organization (failure to form grana stacks), this is an indirect consequence of the splicing defects rather than a direct function of APO1. The primary defect is in RNA splicing, which then leads to loss of photosynthetic complexes and consequently abnormal chloroplast structure.",KEEP_AS_NON_CORE,"The chloroplast organization defects are a downstream consequence of impaired group II intron splicing. While the phenotype is real, it represents an indirect effect rather than a core function of APO1.",,,
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0010468,regulation of gene expression,,,IMP,,PMID:21421812,APO1 promotes the splicing of chloroplast group II introns and harbors a plant-specific zinc-dependent RNA binding domain.,,,"This term is too broad and vague. APO1 specifically promotes chloroplast group II intron splicing, which is already captured by GO:0000373. While RNA splicing is technically a form of gene expression regulation, the more specific term 'Group II intron splicing' better describes the actual function.",REMOVE,Overly broad term that adds no value beyond the specific 'Group II intron splicing' annotation. The specific splicing function is already well-annotated and this general term obscures the precise molecular mechanism.,,,
