GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P28891	P28891	involved_in	GO:0035821	modulation of process of another organism	biological_process	ECO:0000366	IEA	GO_REF:0000108	GO:0090729	8713	Agkistrodon contortrix contortrix	GOC	Snake venom metalloproteinase fibrolase	20250902
UniProtKB	P28891	P28891	enables	GO:0004222	metalloendopeptidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001590|EC:3.4.24.72	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	located_in	GO:0005576	extracellular region	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0243	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002628616	8713	Agkistrodon contortrix contortrix	TreeGrafter	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	involved_in	GO:0006508	proteolysis	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001590|UniProtKB-KW:KW-0645	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	enables	GO:0008233	peptidase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	enables	GO:0008237	metallopeptidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR024079|UniProtKB-KW:KW-0482	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
UniProtKB	P28891	P28891	enables	GO:0090729	toxin activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0800	8713	Agkistrodon contortrix contortrix	UniProt	Snake venom metalloproteinase fibrolase	20250901
