GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P26358	DNMT1	enables	GO:0003886	DNA (cytosine-5-)-methyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:94912|PANTHER:PTN000066774|RGD:620979|TAIR:locus:2117104|TAIR:locus:2205015|UniProtKB:C0SQ89|UniProtKB:P0AED9|UniProtKB:P26358|ZFIN:ZDB-GENE-990714-15	9606	Homo sapiens	GO_Central	DNA (cytosine-5)-methyltransferase 1	20240205
UniProtKB	P26358	DNMT1	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:94912|PANTHER:PTN000066775|RGD:620979	9606	Homo sapiens	GO_Central	DNA (cytosine-5)-methyltransferase 1	20240205
UniProtKB	P26358	DNMT1	involved_in	GO:0044027	negative regulation of gene expression via chromosomal CpG island methylation	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:94912|PANTHER:PTN000066774|RGD:620979|TAIR:locus:2155959|UniProtKB:B1Q3J6|UniProtKB:P26358|ZFIN:ZDB-GENE-990714-15	9606	Homo sapiens	GO_Central	DNA (cytosine-5)-methyltransferase 1	20240205
UniProtKB	P26358	DNMT1	enables	GO:0003677	DNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:94912|PANTHER:PTN000066774|UniProtKB:P26358	9606	Homo sapiens	GO_Central	DNA (cytosine-5)-methyltransferase 1	20221006
UniProtKB	P26358	DNMT1	enables	GO:0003677	DNA binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P13864|ensembl:ENSMUSP00000004202|InterPro:IPR002857|UniProtKB-KW:KW-0238	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250429
UniProtKB	P26358	DNMT1	enables	GO:0003682	chromatin binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P13864|ensembl:ENSMUSP00000004202|InterPro:IPR001025	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250429
UniProtKB	P26358	DNMT1	enables	GO:0003886	DNA (cytosine-5-)-methyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00088999|UniProtKB:P13864|ensembl:ENSMUSP00000004202|InterPro:IPR017198|RHEA:13681|EC:2.1.1.37	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250429
UniProtKB	P26358	DNMT1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026330|UniProtKB:P13864|ensembl:ENSMUSP00000004202|InterPro:IPR017198|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250429
UniProtKB	P26358	DNMT1	involved_in	GO:0006346	DNA methylation-dependent constitutive heterochromatin formation	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P13864|ensembl:ENSMUSP00000004202|InterPro:IPR017198	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250429
UniProtKB	P26358	DNMT1	enables	GO:0008168	methyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P13864|ensembl:ENSMUSP00000004202|InterPro:IPR001525|UniProtKB-KW:KW-0489	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250429
UniProtKB	P26358	DNMT1	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P13864|ensembl:ENSMUSP00000004202|InterPro:IPR002857|UniProtKB-KW:KW-0863	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250429
UniProtKB	P26358	DNMT1	involved_in	GO:0006325	chromatin organization	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0156	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250428
UniProtKB	P26358	DNMT1	enables	GO:0016740	transferase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250428
UniProtKB	P26358	DNMT1	involved_in	GO:0032259	methylation	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0489	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250428
UniProtKB	P26358	DNMT1	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	9606	Homo sapiens	UniProt	DNA (cytosine-5)-methyltransferase 1	20250428
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15161933	UniProtKB:P63104	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16357870	UniProtKB:O75530	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16357870	UniProtKB:Q15910	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16983096	UniProtKB:Q9QR71	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17934516	UniProtKB:Q96T88	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17972916	UniProtKB:P48552	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19282482	UniProtKB:Q8WTS6	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
UniProtKB	P26358	DNMT1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19798101	UniProtKB:Q96T88	9606	Homo sapiens	IntAct	DNA (cytosine-5)-methyltransferase 1	20250426
